場所名稱,場所地址,場所類型,AED放置地點,管理員姓名,連絡電話,設置日期,保固期限,經度,緯度
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學衛生保健組,陳方曼,03-5713769,099/12/16,101/12/16,24.7963498,120.9950069
臺灣新竹地方法院,新竹市北區中正路136號,法院,刑事報到處前,張右旻,035210022＃145,102/09/16,103/12/31,24.8081441,120.9676385
臺灣新竹地方法院公證大樓,新竹市北區中正路146號,法院,公證大樓一樓拍賣室,張右旻,035210022＃145,102/09/16,103/12/31,24.808701,120.967245
太平洋崇光百貨股份有限公司新竹分公司,新竹市東區民族路2號,百貨業,SOGO新竹站前店1樓,賴欣妮,03-522-7000#5908,102/10/23,108/10/31,24.8030583,120.9720189
太平洋崇光百貨股份有限公司新竹巨城分公司,新竹市東區中央路239號,百貨業,SOGO新竹BIGCITY店1樓,劉佳奇,03-6200000#6508,102/10/24,108/10/31,24.8096249,120.9758738
晶元光電股份有限公司,新竹市北區新竹科學園區力行路10號,其他場所,八樓,郭曉菁,03-5678000,103/07/29,109/07/29,24.7816461,121.0059154
晶元光電股份有限公司,新竹市北區新竹科學園區力行五路5號,其他場所,三樓,郭曉菁,35678000,103/07/29,109/07/29,24.7816461,121.0059154
國立新竹女子高級中學,新竹市東區中華路二段270號,高中職,健康中心門口,李文如,03-5456611#304,103/01/08,109/01/07,24.8047755,120.9756282
國賓大飯店(股)公司新竹分公司,新竹市東區中華路二段188號,飯店,12F櫃檯,飯店大廳值勤經理,03-515-1111#3505,102/07/01,105/06/30,24.8063443,120.978093
新竹市文化局,新竹市北區東大路2段15巷1號,其他場所,本局一樓服務台,陳玉君,03-5319756#222,102/07/31,108/06/30,24.811356,120.968914
新竹老爺酒店,新竹市東區光復路一段227號,旅館,光復路一段227號,周賢文,03-5631285*262,101/04/01,106/04/01,24.7818819,121.0206846
新竹市立香山游泳池,新竹市香山區頂埔路21號,體育館(如小巨蛋),新竹市立香山游泳池,許凱威,03-5621138,102/08/01,108/08/01,24.798243,120.9500274
誠品生活新竹店,新竹市東區信義街68號3F,商場,3F服務台,黎世傑,03-527-8907*9,102/08/20,107/08/20,24.8030371,120.9705422
新竹市殯葬管理所,新竹市北區成德路132號,殯儀館,生命紀念園區追思園管理員室,方永樓,03-5220179轉201,102/10/01,108/09/30,24.793402,120.9567588
新竹市立體育館,新竹市東區公園路295號,體育館(如小巨蛋),新竹市立體育館一樓大門服務台左後方,許凱威,03-5621138,102/08/01,108/08/01,24.799481,120.979054
國立新竹高商,新竹市東區學府路128號,高中職,體育館內,許智偉,035722150分機310,103/01/08,107/01/08,24.7958778,120.9844259
新竹市香山區虎林國民小學,新竹市香山區延平路二段78號,國小,健康中心,張蔓菁,03-5384033,102/10/28,108/06/28,24.8052582,120.9410568
新竹市世界高級中學,新竹市東區光復路一段257號,高中職,新竹市世界高級中學,彭煥樹,03-5783271-118,102/12/02,109/12/01,24.7807043,121.0198068
晶元光電股份有限公司,新竹市北區新竹科學園區力行路26號,其他場所,1樓梯廳,郭曉菁,03-5678000,103/07/29,109/07/29,24.7816461,121.0059154
晶元光電股份有限公司,新竹市北區新竹科學園區園區二路48號1樓,其他場所,三樓大門旁,劉家玲,03-5678000*133885,103/07/29,109/07/29,24.7816461,121.0059154
環球新竹世博店,新竹市東區公道五路三段8號,商場,服務台對面,牛建平,03-5717799#7011,103/09/11,107/08/01,24.8214477,120.9808619
煙波大飯店股份有限公司明湖分公司,新竹市東區明湖路775號,飯店,煙波大飯店俱樂部,陳怡鈞,987001821,102/12/02,108/06/01,24.7730411,120.972051
國立新竹高級工業職業學校,新竹市東區中華路二段二號,高中職,行政大樓一樓中央穿堂旁(教官室),陳嘉慧,911178829,102/12/16,106/12/16,24.809448,120.9830404
國立新竹教育大學,新竹市東區南大路521號,大專院校,學生活動中心,張麗華,03-5213132,103/02/10,109/02/10,24.7945248,120.9650979
一品大觀社區,新竹市東區八德路233號,其他場所,新竹市東區八德路233號,陳元偉,955428652,103/04/02,108/04/02,24.8034673,120.9855276
好市多股份有限公司新竹分公司,新竹市東區慈雲路188號,賣場,3樓藥局收銀機檯旁,張惠敏,5638000-205,102/10/23,108/10/22,24.793209,121.013193
好市多股份有限公司新竹分公司,新竹市東區慈雲路188號,賣場,賣場1樓收銀區前,張惠敏,5638000-205,102/10/23,108/10/22,24.793209,121.013193
新竹市北區衛生所,新竹市北區國華街69號1樓,其他場所,北區衛生所服務台,吳秀芬,03-5353969*108,101/07/27,102/07/27,24.8162997,120.9703457
國立科學工業園區實驗高級中學,新竹市東區介壽路300號,高中職,健康中心前,游彰億,03-5777011 ext.244,103/02/03,104/08/31,24.7786201,121.019041
新竹市稅務局,新竹市東區中央路112號,其他場所,新竹市稅務局1樓全功能服務檯前,林俊明,03-5225161#148,102/06/11,107/06/17,24.80633,120.9698846
新竹市東區高峰國民小學,新竹市東區東區高翠路332巷2號,國小,高峰國小大門警衛室內,鄭儀華,(03)5626909-212,103/02/19,108/02/19,24.7797135,120.9835264
新竹市東區關東國民小學,新竹市東區關東路53號,國小,學校警衛室,謝佳玟,03-5775645分機205,103/02/19,105/03/30,24.7840474,121.0222036
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學北門收費亭,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學工程一館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學旺宏館,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學清華會館,陳方曼,03-5713769,102/02/05,108/02/05,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學台達館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學小吃部,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學水木生活中心,陳方曼,03-5713769,101/11/01,106/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學游泳池,陳方曼,03-5713769,101/11/01,106/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學體育館,陳方曼,03-5713769,102/11/01,107/11/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學一區管理中心(義齋),陳方曼,03-5713769,102/08/01,107/08/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學二區管理中心(禮齋),陳方曼,03-5713769,102/08/01,107/08/01,24.7963498,120.9950069
國立清華大學,新竹市東區光復路二段101號,大專院校,國立清華大學駐警隊,陳方曼,03-5713769,102/03/01,107/03/01,24.7963498,120.9950069
