設立別,幼兒園名稱,核准設立日期,設立許可證號,園長/園主任,幼兒園電話,幼兒園住址,核定總招收人數,經度,緯度
私人,新竹市私立南瓜田幼兒園,2009/7/14,府教特字第1030139023號,蕭彥如,(03)5281881,新竹市東區福德里5鄰林森路200巷19號1-2樓,110,24.7992545,120.9635502
國小附設(屬),新竹市東區東門國民小學附設幼兒園,1947/9/8,府教特字第1060137475號,,(03)5251249,新竹市東區育賢里11鄰民族路33號,120,24.8049301,120.9723226
私人,新竹市私立億格文國際幼兒園,2008/6/26,府教特字第1010151173號,吳玉婷,(03)5622828,新竹市東區公園里5鄰公園路286號2樓,15,24.8029444,120.9791997
國小附設(屬),新竹市東區竹蓮國民小學附設幼兒園,1980/8/16,府教特字第1030165899號,,(03)5223066#233,新竹市東區頂竹里19鄰食品路226號,90,24.7959792,120.9741066
私人,新竹市私立多傑幼兒園,1998/10/21,府教特字第1020309674號,龐筱君,(03)5627722,新竹市東區振興里29鄰振興路109巷12弄20號,60,24.7951976,120.9603239
私人,新竹市私立智兒館幼兒園,1996/11/21,府教特字第1010026977號,虞鳳桃,(03)5612439,新竹市東區振興里28鄰振興一街127號,60,24.7945743,120.9610571
國小附設(屬),新竹市東區新竹國民小學附設幼兒園,1985/8/1,府教特字第1050147731號,,(03)5614560,新竹市東區振興里6鄰興學街106號,90,24.7968093,120.966368
私人,新竹市私立新悅成幼兒園,1997/3/5,府教特字第1040092328號,徐玫秀,(03)5427505,新竹市東區文華里6鄰北大路四十巷9-2號,90,24.8132537,120.9725152
私人,新竹市私立親仁實驗幼兒園,1989/11/10,府教特字第1010077335號,鄭良儀,(03)5313852,新竹市東區復中里3鄰錦華街10巷3號1至3樓及5號1樓,97,24.8093212,120.9732113
私人,新竹市私立志航幼兒園,1994/9/1,府教特字第1010096298號,劉佩芬,(03)5261378,新竹市東區東園里8鄰公園路171巷12號1樓,30,24.8044926,120.9824101
私人,新竹市私立維也那書院幼兒園,2011/11/30,府教特字第1010029550號,黃明怡,(03)5750003#112,新竹市東區豐功里16鄰建美路57、59號1-3樓,55,24.8022794,120.9978042
私人,新竹市私立蒲公英幼兒園,2003/12/25,府教特字第1010075968號,吳宗賢,(03)5749258,新竹市東區武功里23鄰建功一路59巷26號,55,24.8004501,120.9955391
私人,新竹市私立米羅幼兒園,2004/10/7,府教特字第1020351569號,黃蓮珍,(03)5166399,新竹市東區武功里16鄰建中路156、158及160號1-3樓,60,24.8030877,120.996219
私人,新竹市私立丹帝萊恩幼兒園,2006/10/26,府教特字第1010098982號,李麗虹,(03)5749285,新竹市東區武功里23鄰建功一路59巷28號1樓,33,24.8004747,120.9955326
私人,新竹市私立安地卡幼兒園,2004/7/21,府教特字第1020349470號,蔡雲婷,(03)5749686,新竹市東區武功里22鄰建功一路59巷16號,80,24.8005937,120.9961213
國小附設(屬),新竹市東區東園國民小學附設幼兒園,1979/9/1,府教特字第1010160830號,,(03)5716411,新竹市東區綠水里13鄰園後街25號,120,24.8000594,120.9850746
私人,新竹市私立何嘉仁東園幼兒園,2013/6/21,府教特字第1020309462號,張穎萍,(03)5721590,新竹市東區綠水里16鄰博愛街96號1-2樓,200,24.7988474,120.9827455
私人,新竹市私立華興幼兒園,1986/9/30,府教特字第1010024255號,王寶霙,(03)5714730,新竹市東區東山里4鄰東山街22號1-2樓,69,24.7955297,120.9804115
私人,新竹市私立橙長幼兒園,2007/6/14,府教特字第1010054074號,陳麗曲,(03)5613138,新竹市東區東山里17鄰食品路134巷19號1、2樓,31,24.798062,120.976626
私人,新竹市私立德溫幼兒園,2005/10/7,府教特字第1010070998號,溫麗玲,(03)5617766,新竹市東區東山里18鄰食品路134巷6號,30,24.7980359,120.9772114
私人,新竹市私立新華興幼兒園,1986/10/4,府教特字第1010112994號,郭慶汾,(03)5717166,新竹市東區東山里6鄰東山街3號1樓,45,24.795552,120.980185
私人,新竹市私立新華興東區幼兒園,1999/7/7,府教特字第1010113020號,葉姍瑜,(03)5712596,新竹市東區東山里3鄰東山街16巷11、13號1樓,70,24.7958374,120.9802142
私人,新竹市私立皇家幼兒園,1994/2/1,府教特字第1060064233號,蔡青蓉,(03)5215727,新竹市東區光鎮里11鄰南大路748巷3弄3號,90,24.7899756,120.9649429
私人,新竹市私立新源興幼兒園,2007/4/24,府教特字第1030139053號,張貴淇,(03)5621556,新竹市東區新興里1鄰南大路421-1號,30,24.7962121,120.967566
私人,新竹市私立果果幼兒園,2001/3/15,府教特字第1010087523號,彭培姬,(03)5627699,新竹市東區新興里26鄰食品路260巷1號,90,24.7944412,120.9702674
私人,新竹市私立育昇幼兒園,2009/10/2,府教特字第1010108945號,劉逸竹,(03)5619675,新竹市東區新興里26鄰食品路280號1-2樓,60,24.7942726,120.9714454
私人,新竹市私立喬曼嘉幼兒園,2003/8/1,府教特字第1010099658號,江旻娟,(03)5293088,新竹市東區柴橋里8鄰明湖路648巷87號,59,24.7720749,120.9635205
財團法人附設,財團法人新竹市私立新竹仁愛兒童之家附設新竹市私立仁愛幼兒園,1989/2/14,府教特字第1010066411號,許孟姍,(03)5235380,新竹市東區高峰里24鄰高峰路306巷65號2樓,40,24.7798311,120.9782251
公益社團法人辦理,社團法人新竹市教保人員協會附設新竹市私立高峰非營利幼兒園（新竹市政府委託辦理）,2011/10/7,府教特字第1040116770號,蔣忠華,(03)5613580,新竹市東區高峰里2鄰高翠路332巷2號,90,24.7795809,120.983574
私人,新竹市私立艾唯兒幼兒園,2009/11/17,府教特字第1010151075號,詹淑敏,(03)6017001,新竹市東區高峰里21鄰高翠路327巷8弄2號1-3樓,270,24.7775635,120.9847084
私人,新竹市私立阿迪克幼兒園,1999/6/3,府教特字第1010140841號,鄭忠一,(03)5785916,新竹市東區仙宮里5鄰高翠路73巷2弄2號1-2樓,45,24.7831431,120.9895755
高中(職)附設(屬),新竹市私立光復高級中學附設實驗幼兒園,2000/6/7,府教特字第1060041886號,毛莉嘉,(03)5753595,新竹市東區光明里11鄰光復路二段153號1-2樓,234,24.7983869,120.9940564
私人,新竹市私立貞彥幼兒園,1998/3/19,府教特字第1010060849號,徐婷婷,(03)5725494,新竹市東區光明里19鄰大學路81巷3弄17號,60,24.7878763,121.0033786
私人,新竹市私立史丹佛竹科幼兒園,2011/9/7,府教特字第1010136243號,林秀惠,(03)5716988,新竹市東區光明里19鄰大學路81巷3弄53、53-1號,230,24.7874702,121.0031451
財團法人附設,財團法人信誼基金會附設新竹市私立光明幼兒園,2006/8/1,府教特字第1010152527號,鄭惠文,(03)5712881,新竹市東區光明里5鄰光明新村186號,480,24.7944328,120.9975797
私人,新竹市私立嘉德琳幼兒園,2000/9/1,府教特字第1010105769號,陳馨玫,(03)5715890,新竹市東區立功里1鄰光復路二段2巷49-4號1樓,90,24.7918248,121.0035116
國小附設(屬),新竹市東區建功國民小學附設幼兒園,2000/7/27,府教特字第1050117794號,,(03)5713447#815,新竹市東區軍功里24鄰建功一路104巷22號,120,24.8007091,120.999182
私人,新竹市私立安琪園幼兒園,1995/4/8,府教特字第1010117417號,李素卿,(03)5337007,新竹市東區前溪里10鄰中華路一段2巷49號1-2樓,70,24.819453,120.994131
私人,新竹市私立史丹佛幼兒園,2005/9/8,府教特字第1010151043號,羅彩心,(03)5330033,新竹市東區前溪里7鄰經國路一段156巷49號,660,24.8160908,120.9887839
國小附設(屬),新竹市東區水源國民小學附設幼兒園,1985/6/17,府教特字第1040045653號,,(03)5751337#11,新竹市東區水源里5鄰仰德路11號,90,24.8122907,121.0029766
