設置單位名稱,地址,站數,經度,緯度
久益機車行(僅供臨時充電),新竹市北區中山路383號,1,24.8003113,120.9583678
慶陽機車行,新竹市北區中正路369號,1,24.8153251,120.961368
宏陽機車行,新竹市北區中華路三段111號,1,24.7965941,120.960851
新洲機車行,新竹市北區西大路411號,1,24.8034141,120.964248
舜晟機車行(僅供臨時充電),新竹市北區西大路514號,1,24.8053432,120.9632317
金祥車業公司(僅供臨時充電),新竹市北區西大路526號,1,24.8055186,120.9630774
文福機車行,新竹市北區延平路一段154號,1,24.8045507,120.9566647
榮新車行(僅供臨時充電),新竹市北區延平路一段495號,1,24.8050094,120.9453251
文榮車行(僅供臨時充電),新竹市北區武陵路39 號,1,24.8176991,120.9645179
德興振機車行,新竹市北區國華街33 號,1,24.815178,120.970621
祥正車業,新竹市北區經國路1段704號,0,24.8144341,120.9731041
振益車行(僅供臨時充電),新竹市北區經國路二段626號,1,24.801484,120.954033
新竹市服務中心,新竹市東區中華路1段290號,0,24.8126179,120.9887154
佶益車業,新竹市東區中華路2段595號,0,24.7993682,120.9674917
全德機車行(僅供臨時充電),新竹市東區中華路二段552號,1,24.8000748,120.9684773
清福機車行,新竹市東區中華路二段627號,1,24.7989626,120.9668029
福隆機車行,新竹市東區光復路1段387號,0,24.7836146,121.0166136
遠倫機車行(僅供臨時充電),新竹市東區光復路一段396號,1,24.7845256,121.0149307
百威機車行,新竹市東區光復路二段14號,1,24.7913647,121.004453
陞鴻機車行(僅供臨時充電),新竹市東區光復路二段908號,1,24.803014,120.9816189
福玄輪業有限公司,新竹市東區明湖路471號 ?,1,24.780197,120.967769
盛嘉車業有限公司(僅供臨時充電),新竹市東區東大路一段6號1F,1,24.8016243,120.9770594
聖林機車行,新竹市東區南大路326號,1,24.7988471,120.971157
佳宏機車行(僅供臨時充電),新竹市東區高峰路三號1F,1,24.7942188,120.9727841
永達機車行(僅供臨時充電),新竹市香山區中華路四段719號,1,24.7887319,120.9299878
元久達車業商號(僅供臨時充電),新竹市香山區牛埔路170巷4號1F,1,24.7998693,120.9515504
新竹市警察局,新竹市北區中山路1 號,1,24.8064012,120.9685675
雄成機車行,新竹市北區中山路229號,1,24.80195,120.961818
新福機車行,新竹市北區中山路一鄰265號,1,24.801413,120.960987
凱竣車業有限公司(僅供臨時充電),新竹市北區中正路241號,1,24.8120927,120.9642723
欣益車業有限公司,新竹市北區中華路三段3 號,1,24.797104,120.963538
進福車行(僅供臨時充電),新竹市北區天府路二段33號,1,24.8396254,120.9302172
鴻盤社區(僅供社區住戶使用),新竹市北區北大路,2,24.8084181,120.9658915
松泰車業有限公司(僅供臨時充電),新竹市北區北大路451號,1,24.802223,120.960273
群民機車行(僅供臨時充電),新竹市北區光華一街15號,1,24.8158394,120.9735848
榮全機車行(僅供臨時充電),新竹市北區光華二街41號,1,24.8182673,120.9748421
亞特機車行(僅供臨時充電),新竹市北區光華二街66-1號1F,1,24.8191382,120.9757115
天鴻機車行,新竹市北區西大路680號,1,24.8086523,120.9608338
大通機車行,新竹市北區西大路701號,1,24.8113541,120.956051
新合成車業有限公司,新竹市北區西大路74號1樓,1,24.8115682,120.9606473
萬人機車行(僅供臨時充電),新竹市北區西大路876號,1,24.8118666,120.9557427
龍海車業行(僅供臨時充電),新竹市北區延平路三段390號1F,1,24.8367948,120.9314055
康樂里-集會所,新竹市北區東大路三段357 巷6 號,2,24.8362087,120.9434471
康樂車行(僅供臨時充電),新竹市北區東大路三段369號,1,24.836395,120.943328
