no,name,lat,lng
1,新竹市中山大同往大同路,24.8059907,120.9676802
2,新竹市中正路與竹光路1,24.8151871,120.9620335
3,新竹市中正路與竹光路2,24.8151871,120.9620335
4,新竹市中正路與竹光路3,24.8151871,120.9620335
5,新竹市中正路與竹光路4,24.8151871,120.9620335
6,新竹市北門街與北大路全景1,24.8061754,120.9624167
7,新竹市北大路往西大路車牌,24.8089716,120.9667842
8,新竹市北大路往中正路車牌,24.8098857,120.9682493
9,新竹市北門街與北大路全景2,24.8080084,120.9652321
10,新竹市北大路與演藝路,24.8080084,120.9652321
11,新竹市中正路往城北街口車牌,24.8138388,120.9630526
12,新竹市城北街照市場車牌,24.8110159,120.9636534
13,新竹市北門街往城北街全景,24.8085846,120.9651173
14,新竹市北大路200巷照巷內全景,24.8085846,120.9651173
15,新竹市城北街往北門街全景,24.8138388,120.9630526
16,新竹市民富城北往中正路全景,24.8084181,120.9658915
17,新竹市北門長和照長和街(全景),24.8085595,120.9649126
18,新竹市中正223巷華揚戲院前,24.8111365,120.9643546
19,新竹市經國路二段159巷照巷內全景,24.8065336,120.9658712
20,新竹市北門街往北大路方向(全景),24.8063592,120.9685289
21,新竹市北門街鄭氏家廟前,24.8087737,120.9539249
22,新竹市英明街往北門街全景,24.80996,120.9655069
23,新竹市警局正門制高點,24.8107653,120.9641779
24,新竹市中正中山警局側門前,24.8063592,120.9685289
25,新竹市和平路139巷,24.8098833,120.9544386
26,新竹市和平路159巷,24.8098833,120.9544386
27,新竹市竹光路與和平路139巷1,24.8087737,120.9539249
28,新竹市竹光路與和平路139巷2,24.8115694,120.9538876
29,新竹市和平路245巷口,24.8121164,120.9485027
30,新竹市成功路192巷,24.80965,120.9550973
31,新竹市和平路139巷內,24.80965,120.9550973
32,新竹市和平路209巷口,24.8123043,120.9540317
33,新竹市經國路二段438巷口,24.811948,120.951535
34,新竹市竹光路往和平路方向,24.806733,120.9549134
35,新竹市成功路往和平路,24.8133835,120.9541169
36,新竹市成功路往280巷(威靈宮),24.80965,120.9550973
37,新竹市成功路317巷口往280巷(威靈宮),24.8133835,120.9541169
38,新竹市成功路往317巷口(全景),24.8025778,120.9682783
39,新竹市成功路往延平路全景,24.8141836,120.9524307
40,新竹市成功路172巷口內,24.8136044,120.952628
41,新竹市成功路172巷3弄口內,24.8136471,120.9533773
42,新竹市成功路172巷5弄口內,24.8118083,120.9536352
43,新竹市成功路172巷7弄口內,24.8139453,120.9526333
44,新竹市成功路172巷9弄口,24.8060631,120.958321
45,新竹市成功路往和平路,24.8101236,120.9518905
46,新竹市和平路219巷口,24.8133465,120.9527771
47,新竹市延平路一段138巷58號,24.8050629,120.9485601
48,新竹市經國路501巷口,24.8055,120.956595
49,新竹市延平一段172巷與經國二段501巷口,24.8122196,120.9667252
50,新竹市延平一段138巷與經國二段501巷口,24.8049977,120.9574774
51,新竹市延平路一段138巷5弄口,24.8128719,120.9649415
52,新竹市水田街往經國路全景,24.8125703,120.9640377
53,新竹市經國二段60巷口全景,24.8128819,120.9656649
54,新竹市中正284巷往中正路全景,24.8053278,120.9564054
55,新竹市中正284巷24弄底全景,24.8057227,120.9577552
56,新竹市水田街50巷口全景,24.8109967,120.9652151
57,新竹市水田街往中正路全景,24.8132805,120.9648928
58,新竹市東大65巷往中正198巷全景,24.8141367,120.9641276
59,新竹市中正路198巷照停車場,24.8079314,120.9581319
60,新竹市北大路166與東大65巷口全景,24.8079314,120.9581319
61,新竹市北大路166巷往北大路,24.814684,120.9634901
62,新竹市經國二段27巷中全景,24.8096675,120.9678721
63,新竹市經國二段27巷往演藝路全景,24.8139229,120.962986
64,新竹市中正370巷與34弄口全景,24.8108395,120.9661854
65,新竹市中正370巷口全景,24.814896,120.9627633
66,新竹市中正350巷往中正路全景,24.8131477,120.9669764
67,新竹市經國磐石往南全景,24.811068,120.9668531
68,新竹市經國磐石往民富全景,24.8079314,120.9581319
69,新竹市經國磐石往北全景,24.8079314,120.9581319
70,新竹市經國磐石往和平路,24.8056869,120.9604313
71,新竹市唯智英專旁巷口,24.8068301,120.9665538
72,新竹市長安街80號,24.8056869,120.9604313
73,新竹市長安街76號,24.8052398,120.9658665
74,新竹市北門街13.15號巷內,24.8071165,120.965396
75,新竹市少年廣州街口全景,24.8080065,120.961003
76,新竹市廣州少年街往體育場,24.8063607,120.9562303
77,新竹市西大路648巷21弄口球型,24.8087306,120.9611043
78,新竹市西大路648巷21弄口西大路全景,24.8068796,120.9654044
79,新竹市民富仁德往中正全景,24.8086712,120.9738899
80,新竹市民富仁德往西大全景,24.8106559,120.9654687
81,新竹市新民街內,24.8031591,120.9656086
82,新竹市愛文街11巷口,24.8031591,120.9656086
83,新竹市西大路582巷口,24.8085104,120.9634069
84,新竹市北大路305巷口,24.8084101,120.9605054
85,新竹市中央路3巷35弄市場內,24.8070629,120.962618
86,新竹市西安街14巷口,24.8031591,120.9656086
