No,Address,DeptNm,BranchNm,Latitude,Longitude
編號,地點位置,管轄警察局,分局,經度,緯度
1,新竹市東區建國公園周邊,新竹市警察局,第三分局,24.803375,120.96665559999997
2,新竹市香山區長興街周邊,新竹市警察局,第三分局,24.7535931,120.90766029999997
3,新竹市東區東前街、武昌街口,新竹市警察局,第二分局,24.8025389,120.967308
4,南寮漁港及海天一線(看海區),新竹市警察局,第一分局,24.832619,120.91509280000002
5,笑傲江湖KTV經國店,新竹市警察局,第一分局,24.810628,120.96218440000007
6,錢櫃KTV北大店,新竹市警察局,第一分局,24.8078131,120.96463399999993
7,樹林頭夜市,新竹市警察局,第一分局,24.8210992,120.96147889999997
8,新竹縣竹北市中正東路陸橋下人行道周遭,新竹縣政府警察局,竹北分局,24.83691,121.00918000000001
9,新竹縣湖口鄉達生路橋下停車場周遭,新竹縣政府警察局,竹北分局,24.8949069,121.03965560000006
10,新竹縣竹東鎮河濱公園,新竹縣政府警察局,竹東分局,24.7467142,121.08769749999999
11,新竹縣竹東鎮東峰路修繕堂附近空屋,新竹縣政府警察局,竹東分局,24.7056941,121.09663160000002
