編號,中心名稱,負責人,住址,電話01,電話02,經度,緯度
1,新竹市私立杜曼托嬰中心,林怡蕙,新竹市東區科學園路107巷11號1樓,03-666-2480,,24.7845931,121.01152609999997
2,新竹市私立佳佳托嬰中心,徐秀琴,新竹市東區金竹路182號2樓,03-543-9745,,24.8241961,120.97153789999993
3,新竹市私立大象托嬰中心,張牡丹,新竹市北區武陵路179巷6號1樓,03-545-5336,03-545-5038,24.8219366,120.96833300000003
4,新竹市私立喬曼嘉托嬰中心,李嘉芬,新竹市東區明湖路648巷87號,03-529-3088,,24.7720749,120.96352049999996
5,新竹市私立安安托嬰中心,黃美枝,新竹巿北區四維路21巷25號1-2樓,03-526-1597,,24.7980341,120.96198300000003
6,新竹市私立智邦科技附設托嬰中心,張書涵,新竹市科學園區園區二路9號1樓,03-577-0270#3634、2981,,24.7816461,121.00591540000005
7,新竹市私立真愛托嬰中心,李麗鈴,新竹市東區光復路1段268巷12號1樓,03-577-6799,,24.78258,121.02065570000002
8,新竹市私立吉貝兒托嬰中心,謝振台,新竹市東區金山九街56號1.2樓,03-579-0335,,24.777431,121.02075100000002
9,新竹市私立慈耕托嬰中心,游麗珠,新竹巿北區民富街256號1樓,03-522-1672,03-526-7420,24.8041727,120.95795569999996
10,新竹市私立卡爾威特托嬰中心,藍莉青,新竹市東區建功一路59巷12號1樓,03-574-9777,,24.8006104,120.99619959999995
11,新竹市私立勁寶兒向日葵托嬰中心,蔡玉琴,新竹市北區武陵路36-31樓,03-531-8726,,24.8205934,120.9699554
12,新竹市私立傑尼爾托嬰中心,王勝樑,新竹市香山區香北路252號,03-538-2223,,24.7901213,120.92505879999999
13,新竹市私立微笑天空托嬰中心,王靜儀,新竹市金山北一街100號1-2樓,03-578-8099,,24.7771748,121.02428080000004
14,新竹市私立快樂寶貝托嬰中心,陳清洲,新竹市東大路2段230號1-3樓,03-535-7779,,24.8179999,120.96378400000003
15,新竹市私立小天使托嬰中心,黃郁雯,新竹市東區東南街188巷13號1樓,03-562-4358,,24.8004182,120.97222590000001
16,新竹市私立孟格爾托嬰中心,蔡孟柔,新竹市北區武陵路179巷6-3號1樓,03-545-5555,,24.8219366,120.96833300000003
17,新竹市私立荷蘭村托嬰中心,溫佳芸,新竹市北區武陵路175巷11-1號1樓,03-545-4005,,24.8221917,120.96615739999993
18,新竹市私立億格文國際托嬰中心,蘇評揮,新竹市公園路286號2樓,03-562-2828,,24.8029444,120.97919969999998
19,新竹市私立貝比兔托嬰中心,范少絹,新竹市北區光華二街12號,03-543-8102,,24.8170673,120.97446179999997
20,新竹市私立茱蒂園托嬰中心,曾月卿,新竹市光華街78巷1號1樓,03-535-0491,,24.8172094,120.97256760000005
21,新竹市私立寶兒托嬰中心,鄭瑛麒,新竹市水田街1號2樓,03-525-5718,,24.8115969,120.96552750000001
22,新竹市私立寶貝王國托嬰中心,葉俐辰,新竹市公道五路二段437號1-3樓,03-573-8088,,24.8038945,120.9952826
23,新竹市私立孟格爾托嬰中心國泰分園,彭斯廉,新竹市武陵路179巷10號1樓,03-545-5599,,24.822588,120.96821030000001
24,新竹市私立玉兒托嬰中心,黃玉蓮,新竹市科學園路113號1-2號,03-578-6588,,24.7841317,121.01124970000001
25,新竹市私立科瑞特托嬰中心,曾靖仁,新竹市經國路2段501巷10號1、2樓,03-524-3497,,24.8051974,120.95629639999993
