編號,設置單位名稱,地址,站數,充電設備名稱,備註,經度,緯度
1,久益機車行(僅供臨時充電),新竹市北區中山路383號,1,,,24.8003113,120.95836780000002
2,慶陽機車行,新竹市北區中正路369號,1,TES充電設施,,24.8153251,120.961368
3,宏陽機車行,新竹市北區中華路三段111號,1,e-moving充電設施,,24.7965941,120.96085100000005
4,新洲機車行,新竹市北區西大路411號,1,光陽充電系統,更正,24.8034141,120.964248
5,舜晟機車行(僅供臨時充電),新竹市北區西大路514號,1,,,24.8053432,120.96323170000005
6,金祥車業公司(僅供臨時充電),新竹市北區西大路526號,1,,,24.8055186,120.96307739999997
7,文福機車行,新竹市北區延平路一段154號,1,TES充電設施,,24.8045507,120.95666470000003
8,榮新車行(僅供臨時充電),新竹市北區延平路一段495號,1,,,24.8050094,120.94532509999999
9,文榮車行(僅供臨時充電),新竹市北區武陵路39 號,1,,,24.8176991,120.96451790000003
10,德興振機車行,新竹市北區國華街33 號,1,,更正,24.815178,120.97062099999994
11,祥正車業,新竹市北區經國路1段704號,0,,移除,24.8144341,120.9731041
12,振益車行(僅供臨時充電),新竹市北區經國路二段626號,1,,,24.801484,120.95403299999998
13,新竹市服務中心,新竹市東區中華路1段290號,0,,移除,24.8126179,120.98871540000005
14,佶益車業,新竹市東區中華路2段595號,0,,移除,24.7993682,120.96749169999998
15,全德機車行(僅供臨時充電),新竹市東區中華路二段552號,1,,,24.8000748,120.96847730000002
16,清福機車行,新竹市東區中華路二段627號,1,光陽充電系統,,24.7989626,120.96680289999995
17,福隆機車行,新竹市東區光復路1段387號,0,,移除,24.7836146,121.01661360000003
18,遠倫機車行(僅供臨時充電),新竹市東區光復路一段396號,1,,,24.7845256,121.01493069999992
19,百威機車行,新竹市東區光復路二段14號,1,TES充電設施,,24.7913647,121.00445300000001
20,陞鴻機車行(僅供臨時充電),新竹市東區光復路二段908號,1,,,24.803014,120.98161890000006
21,福玄輪業有限公司,新竹市東區明湖路471號 ‎,1,光陽充電系統,,24.780197,120.96776899999998
22,盛嘉車業有限公司(僅供臨時充電),新竹市東區東大路一段6號1F,1,,,24.8016243,120.97705940000003
23,聖林機車行,新竹市東區南大路326號,1,光陽充電系統,,24.7988471,120.97115699999995
24,佳宏機車行(僅供臨時充電),新竹市東區高峰路三號1F,1,,,24.7942188,120.97278410000001
25,永達機車行(僅供臨時充電),新竹市香山區中華路四段719號,1,,,24.7887319,120.92998779999994
26,元久達車業商號(僅供臨時充電),新竹市香山區牛埔路170巷4號1F,1,,,24.7998693,120.95155039999997
27,新竹市警察局,新竹市北區中山路1 號,1,e-moving充電設施,加入,24.8064012,120.96856750000006
28,雄成機車行,新竹市北區中山路229號,1,89年充電設備,加入,24.80195,120.961818
29,新福機車行,新竹市北區中山路一鄰265號,1,89年充電設備,加入,24.801413,120.96098699999993
30,凱竣車業有限公司(僅供臨時充電),新竹市北區中正路241號,1,,加入,24.8120927,120.96427229999995
