編號,加 油 站 名,公司主體,負責人,區域,區域1,住              址,營業時間,經度,緯度
1,民華,台灣中油(股),林聖忠,東區,東區,新竹市中華路二段156-1號,24HR,24.8069912,120.97847539999998
2,新竹,台灣中油(股),林聖忠,東區,東區,新竹市中華路二段347號,7--22,24.8035632,120.9740792
3,香山,台灣中油(股),林聖忠,香山區,東區,新竹市中華路五段54號,24HR,24.787963,120.92726749999997
4,關東橋,台灣中油(股),林聖忠,東區,東區,新竹市光復路一段529號,24HR,24.7848178,121.01317119999999
5,北大路,台灣中油(股),林聖忠,北區,北區,新竹市北大路374號,24HR,24.805355,120.96084300000007
6,南寮,台灣中油(股),林聖忠,北區,北區,新竹市東大路四段292號,24HR,24.845784,120.92806100000007
7,光復路,台灣中油(股),林聖忠,東區,東區,新竹市光復路二段716號,24HR,24.8002513,120.98968749999995
8,光明,台灣中油(股),林聖忠,東區,東區,新竹市光復路二段1號,24HR,24.7909793,121.00414619999992
9,科學園區,台灣中油(股),林聖忠,東區,東區,新竹市工業東二路2-2號,24HR,24.7797101,121.004636
10,四維,台灣中油(股),林聖忠,東區,東區,新竹巿中華路二段７４６號,24HR,24.7973308,120.96402239999998
11,長和,台灣中油(股),林聖忠,北區,北區,新竹市經國路二段２９３號,7--22,24.8096254,120.96115889999999
12,全國民生路,全國加油站(股),賴正時,東區,東區,新竹市民生路３０８號,24HR,24.8137893,120.9744442
13,全國明湖,全國加油站(股),賴正時,東區,東區,新竹市明湖路３６１號,24HR,24.7856126,120.96773869999993
14,全國園區,全國加油站(股),賴正時,東區,東區,新竹市寶山路３４６號,24HR,24.7873999,120.98529110000004
15,全國新竹,全國加油站(股),賴正時,香山區,香山區,新竹巿中華路六段１８２號,24HR,24.7456322,120.90613719999999
16,全國經國路,全國加油站(股),賴正時,北區,北區,新竹市經國路二段１２６號,24HR,24.8116501,120.96366579999994
17,全國新竹交流道,全國加油站(股),賴正時,東區,東區,新竹市公道五路二段１號,24HR,24.7995844,121.00721010000007
18,台亞經國路一站,台亞石油(股),蘇啟邑,東區,東區,新竹市經國路一段２４３號,24HR,24.8148987,120.9846923
19,公園,公園加油站(股),蔡建璋,東區,東區,新竹巿光復路二段５８５號,24HR,24.8031033,120.97989959999995
20,台亞新竹中山,台亞石油(股),蘇啟邑,北區,北區,新竹市中山路３３２號,24HR,24.8013228,120.96006869999997
21,長隆,長隆加油站有限公司,范光隆,北區,北區,新竹市東大路二段６５７號,24HR,24.8239812,120.95772199999999
22,大橋,大橋加油站有限公司,魏良宇,東區,東區,新竹巿中華路一段３１號,24HR,24.817944,120.99513400000001
23,正塘,正塘加油站有限公司,張榮枝,北區,北區,新竹市西濱路一段4５號,24HR,24.827228,120.92719
24,民弘,民弘加油站(股),呂惟仁,東區,東區,新竹巿自由路６５號,24HR,24.8126451,120.9808289
25,永富,永富加油站有限公司,范光隆,北區,北區,新竹市中正路６２０號,24HR,24.8181189,120.95555839999997
26,百祥,百祥加油站(股),余建良,香山區,香山區,新竹巿中華路五段１１１號,24HR,24.786978,120.92635199999995
27,延平,建騰開發事業(股),黃于耿,香山區,北區,新竹市延平路二段４３６號,7--21,24.8067242,120.93086470000003
28,明湖,明湖實業(股),李明程,東區,東區,新竹市明湖路１０３６號,6:30~22,24.7680045,120.97823199999993
29,昇冠,昇冠加油站(股),蘇宏明,北區,北區,新竹市經國路二段１號,24HR,24.813615,120.96735020000006
30,青雲,青雲加油站有限公司,吳淑惠,東區,東區,新竹市關東路１７１號,6:30~22,24.789303,121.01993900000002
31,港南,港南加油站有限公司,陳金來,香山區,香山區,新竹市海埔路１４２巷５５號,6:30~22,24.8192511,120.92450299999996
32,西歐,西歐加油站(股),周賢玲,東區,東區,新竹市中華路二段５９號,24HR,24.8084251,120.98200500000007
33,尚隆加油站,尚隆加油站有限公司,范光隆,北區,北區,新竹市天府路2段51號,24HR,24.8395016,120.9292868
34,佳隆加油站,佳隆加油站有限公司,范光隆,東區,東區,新竹市公道五路三段708號,6:30~22,24.8215278,120.98096910000004
35,茄苳加油站,茄苳加油站有限公司,陳文喜,香山區,香山區,新竹市五福二路900號,24HR,24.7544819,120.95422430000008
36,昌隆加油站,昌隆加油站有限公司,范光隆,東區,東區,新竹市公道五路三段669號,24HR,24.8211844,120.98071230000005
37,大新竹加油站,大橋加油站有限公司,魏良宇,東區,東區,新竹市中華路一段9號,6:30~22:30,24.818963,120.99571900000001
38,奕承加油站,台灣中油(股),林聖忠,香山區,香山區,新竹市景觀大道830號,24HR,24.7604655,120.95821739999997
39,公道五加油站,佑順加油站(股),許烘爐,東區,東區,新竹市公道五路二段228號,24HR,24.800639,121.00297599999999
40,元太新竹加氣站,元太科技工程股份有限公司,,,東區,新竹市溪埔路91號,24HR,24.8179864,120.99192399999993
