編號,縣市,執照類別 ,狀態,機構名稱,負責獸醫,機構電話,機構地址,經度,緯度
1,新竹市,獸醫師,開業,渤海動物診所,吳政運,(03)5610432,新竹市東南街112號1樓,24.7977512,120.97368200000005
2,新竹市,獸醫師,開業,全美經國動物醫院,姚忠怡,(03)5382555,新竹市經國路3段6號,24.8005704,120.95367080000005
3,新竹市,獸醫師,開業,台大慈仁動物醫院,譚至仁,0925140282,新竹市北區武陵路2-1號,24.8185514,120.9632722
4,新竹市,獸醫師,開業,淇寶寶動物醫院,黃婉琳,(03)5631093,新竹市光復路1段362-12號,24.784219,121.01683500000001
5,新竹市,獸醫師,開業,康乃爾動物醫院,毛嘉慶,(03)5241824,新竹市北區武陵路16號1樓,24.822759,120.96948799999996
6,新竹市,獸醫師,開業,安定動物醫院,張勝智,(03)5712135,新竹市東區建美路45號,24.8020614,120.99800460000006
7,新竹市,獸醫師,開業,謙華動物醫院,歐千愉,(03)5331414,新竹市中華路二段224號,24.8055671,120.976722
8,新竹市,獸醫師,開業,新竺動物醫院,劉珮綸,(03)5429961,新竹市竹光路98號,24.813557,120.959385
9,新竹市,獸醫師,開業,紐約動物醫院,陳玉霖,0958608801,新竹市民族路247號,24.8107336,120.98142589999998
10,新竹市,獸醫師,開業,風城動物醫院,許幸宗,(03)5305073,新竹市中華路4段32號,24.7967596,120.95442750000007
11,新竹市,獸醫師,開業,傑恩動物醫院,彭駿堯,(03)5278578,新竹市中華路二段667號1樓,24.7983785,120.96607340000003
13,新竹市,獸醫師,開業,艾諾動物醫院,陳信帆,035775899,新竹市科學園路106號1樓,24.7841991,121.01084149999997
14,新竹市,獸醫師,開業,台大安欣動物醫院,劉佳遠,(03)5615528,新竹市東光路25號,24.8018831,120.98686410000005
16,新竹市,獸醫師,開業,米豆寵物醫院,郭信豐,(03)5293045,新竹市明湖路432號,24.784627,120.96745910000004
17,新竹市,獸醫師,開業,光華動物醫院,游振銘,(03)5439840,新竹市水田街177號,24.817005,120.96921799999996
18,新竹市,獸醫師,開業,旺鑫動物醫院,吳永鑫,(03)5778558,新竹市關東路23巷23號,24.7825184,121.02148999999997
19,新竹市,獸醫師,開業,加賀動物醫院,林聞櫃,(03)5254171,新竹市中華路二段613號,24.7990827,120.96713420000003
20,新竹市,獸醫師,開業,宏仁動物醫院,倪清龍,(03)5420651,新竹市民富街57號,24.8094703,120.96381870000005
21,新竹市,獸醫師,開業,全美動物醫院,陳明遠,(03)5266284,新竹市四維路96號1樓,24.7998683,120.9618312
22,新竹市,獸醫師,開業,懷生動物醫院,曾鈺鈴,(03)5783836,新竹市金城一路24號,24.7936505,121.00196159999996
23,新竹市,獸醫師,開業,協和動物診所,林鈺章,(03)5215380,新竹市南大路48號,24.802804,120.97785109999995
24,新竹市,獸醫師,開業,信安動物醫院,蔡東昇,(03)5318126,新竹市民權路242號,24.8130786,120.97129070000005
25,新竹市,獸醫師,開業,仁德家畜醫院,林杰玄,(03)5250313,新竹市北大路220號,24.8079945,120.96491390000006
26,新竹市,獸醫師,開業,仁心寵物醫院,呂國璋,(03)5429958,新竹市北大路130號,24.8104221,120.96866699999998
27,新竹市,獸醫師,開業,全育動物醫院,南松,(03)5614316,新竹市食品路423號,24.7935664,120.96781820000001
28,新竹市,獸醫師,開業,中日動物醫院,洪熒娥,(03)5231015,新竹市西大路656號,24.8082661,120.96111599999995
,,,開業,築心動物醫院,蔡逸政,(03)5338055,新竹市經國路一段654號,24.8145088,120.97447110000007
,,,開業,全美(忠孝)動物醫院,徐子皓,(03)5620869,新竹市東光路177號,24.8058172,120.9863034
